year,month,yearmonth,date,failures
2007,1,200701,2007-01,0
2007,2,200702,2007-02,1
2007,3,200703,2007-03,0
2007,4,200704,2007-04,0
2007,5,200705,2007-05,0
2007,6,200706,2007-06,0
2007,7,200707,2007-07,0
2007,8,200708,2007-08,0
2007,9,200709,2007-09,1
2007,10,200710,2007-10,1
2007,11,200711,2007-11,0
2007,12,200712,2007-12,0
2008,1,200801,2008-01,1
2008,2,200802,2008-02,0
2008,3,200803,2008-03,1
2008,4,200804,2008-04,0
2008,5,200805,2008-05,2
2008,6,200806,2008-06,0
2008,7,200807,2008-07,3
2008,8,200808,2008-08,3
2008,9,200809,2008-09,3
2008,10,200810,2008-10,4
2008,11,200811,2008-11,5
2008,12,200812,2008-12,3
2009,1,200901,2009-01,6
2009,2,200902,2009-02,10
2009,3,200903,2009-03,5
2009,4,200904,2009-04,8
2009,5,200905,2009-05,7
2009,6,200906,2009-06,9
2009,7,200907,2009-07,24
2009,8,200908,2009-08,15
2009,9,200909,2009-09,11
2009,10,200910,2009-10,20
2009,11,200911,2009-11,9
2009,12,200912,2009-12,16
2010,1,201001,2010-01,15
2010,2,201002,2010-02,7
2010,3,201003,2010-03,19
2010,4,201004,2010-04,20
2010,5,201005,2010-05,14
2010,6,201006,2010-06,8
2010,7,201007,2010-07,22
2010,8,201008,2010-08,10
2010,9,201009,2010-09,9
2010,10,201010,2010-10,12
2010,11,201011,2010-11,10
2010,12,201012,2010-12,8
2011,1,201101,2011-01,11
2011,2,201102,2011-02,12
2011,3,201103,2011-03,3
2011,4,201104,2011-04,13
2011,5,201105,2011-05,5
2011,6,201106,2011-06,4
2011,7,201107,2011-07,13
2011,8,201108,2011-08,7
2011,9,201109,2011-09,6
2011,10,201110,2011-10,11
2011,11,201111,2011-11,5
2011,12,201112,2011-12,2
2012,1,201201,2012-01,7
2012,2,201202,2012-02,4
2012,3,201203,2012-03,5
2012,4,201204,2012-04,6
2012,5,201205,2012-05,2
2012,6,201206,2012-06,7
2012,7,201207,2012-07,8
2012,8,201208,2012-08,1
2012,9,201209,2012-09,3
2012,10,201210,2012-10,4
2012,11,201211,2012-11,3
2012,12,201212,2012-12,1
2013,1,201301,2013-01,2
2013,2,201302,2013-02,1
2013,3,201303,2013-03,1
2013,4,201304,2013-04,6
2013,5,201305,2013-05,4
2013,6,201306,2013-06,2
2013,7,201307,2013-07,0
2013,8,201308,2013-08,4
2013,9,201309,2013-09,2
2013,10,201310,2013-10,1
2013,11,201311,2013-11,0
2013,12,201312,2013-12,1
2014,1,201401,2014-01,3
2014,2,201402,2014-02,2
2014,3,201403,2014-03,0
2014,4,201404,2014-04,1
2014,5,201405,2014-05,3
2014,6,201406,2014-06,4
2014,7,201407,2014-07,2
2014,8,201408,2014-08,0
2014,9,201409,2014-09,0
2014,10,201410,2014-10,2
2014,11,201411,2014-11,1
2014,12,201412,2014-12,1
2015,1,201501,2015-01,0