bankname,address,city,state,zipcode,fdiccertificatenumber,closingdate,acquiringinstitution,latitude,longitude,month,year,yearmonth,total_assets_mill,total_deposits_mill
Affinity Bank,101 SOUTH CHESTNUT,VENTURA,CA,93001,27197,28-Aug-09,Pacific Western Bank,34.2791557,-119.2919617,8,2009,200908,1000,922
Mainstreet Bank,1650 SOUTH LAKE STREET,FOREST LAKE,MN,55025,1909,28-Aug-09,Central Bank,45.262497,-92.984467,8,2009,200908,459,434
Bradford Bank,6900 York Road,Baltimore,MD,21212,28312,28-Aug-09,Manufacturers and Traders Trust Company (M&T Bank),39.378716,-76.608788,8,2009,200908,452,383
Vantus Bank,329 Pierce Street,Sioux City,IA,51101,27732,4-Sep-09,Great Southern Bank,42.493607,-96.40564,9,2009,200909,458,368
Platinum Community Bank,2915 West Kirchoff Road,Rolling Meadows,IL,60008,35030,4-Sep-09,No Acquirer,42.0752907,-88.0278625,9,2009,200909,345.6,305
InBank,15533 SOUTH CICERO AVENUE,OAK FOREST,IL,60452,20203,4-Sep-09,"MB Financial Bank, N.A.",41.609539,-87.736015,9,2009,200909,212,199
First State Bank,1750 SOUTH WOODLANDS VILLAGE BOULEVARD,FLAGSTAFF,AZ,86001,34875,4-Sep-09,Sunwest Bank,35.185455,-111.667801,9,2009,200909,105,95
First Bank of Kansas City,3901 MAIN STREET,KANSAS CITY,MO,64111,25231,4-Sep-09,Great American Bank,39.056187,-94.585609,9,2009,200909,16,15
"Corus Bank, N.A.",3959 LINCOLN AVENUE,CHICAGO,IL,60613,13693,11-Sep-09,"MB Financial Bank, N.A.",41.9538994,-87.6782227,9,2009,200909,7000,7000
Venture Bank,721 COLLEGE STREET SE,LACEY,WA,98503,22868,11-Sep-09,First-Citizens Bank & Trust Company,47.040703,-122.823845,9,2009,200909,970,903
Brickwell Community Bank,525 COMMONS DRIVE,WOODBURY,MN,55125,57736,11-Sep-09,CorTrust Bank N.A.,44.940948,-92.931343,9,2009,200909,72,63
Irwin Union Bank and Trust Company,500 WASHINGTON STREET,COLUMBUS,IN,47201,10100,18-Sep-09,"First Financial Bank, N.A.",39.2036048,-85.9212264,9,2009,200909,2700,2100
"Irwin Union Bank, F.S.B.",140 Whittington Parkway,Louisville,KY,40222,57068,18-Sep-09,"First Financial Bank, N.A.",38.2451324,-85.582077,9,2009,200909,493,441
Georgian Bank,3300 CUMBERLAND BOULEVARD,ATLANTA,GA,30339,57151,25-Sep-09,"First Citizens Bank and Trust Company, Inc.",33.8753052,-84.4593506,9,2009,200909,2000,2000
Warren Bank,30068 SCHOENHERR ROAD,WARREN,MI,48088,34824,2-Oct-09,The Huntington National Bank,42.51609,-82.98735,10,2009,200910,538,501
Jennings State Bank,126 W. MAIN ST.,SPRING GROVE,MN,55974,11416,2-Oct-09,Central Bank,43.56126,-91.637138,10,2009,200910,56.3,52.4
Southern Colorado National Bank,3595 SPAULDING AVENUE,PUEBLO,CO,81008,57263,2-Oct-09,Legacy Bank,38.3072739,-104.6624832,10,2009,200910,39.5,31.9
San Joaquin Bank,1301 17TH STREET,BAKERSFIELD,CA,93301,23266,16-Oct-09,Citizens Business Bank,35.374046,-119.0168,10,2009,200910,775,631
Bank of Elmwood,2704 LATHROP AVENUE,RACINE,WI,53405,18321,23-Oct-09,Tri City National Bank,42.699081,-87.826576,10,2009,200910,327.4,273.2
First DuPage Bank,520 NORTH CASS AVENUE,WESTMONT,IL,60559,35038,23-Oct-09,First Midwest Bank,41.808296,-87.976555,10,2009,200910,279,254
Flagship National Bank,6004 26TH STREET WEST,BRADENTON,FL,34207,35044,23-Oct-09,First Federal Bank of Florida,27.4353809,-82.5881882,10,2009,200910,190,175
American United Bank,1846 OLD NORCROSS ROAD SUITE 300,LAWRENCEVILLE,GA,30044,57794,23-Oct-09,Ameris Bank,33.9525792,-84.0571763,10,2009,200910,111,101
Riverview Community Bank,9040 QUADAY AVENUE NORTHEAST SUITE 100,OTSEGO,MN,55330,57525,23-Oct-09,Central Bank,45.2821389,-93.5641502,10,2009,200910,108,80
Hillcrest Bank Florida,5325 AIRPORT ROAD NORTH,NAPLES,FL,34109,58336,23-Oct-09,Stonegate Bank,26.2117596,-81.7685318,10,2009,200910,83,84
Partners Bank,3021 Airport-Pulling Road North,Naples,FL,34105,57959,23-Oct-09,Stonegate Bank,26.1856496,-81.767689,10,2009,200910,65.5,64.9
California National Bank,"221 SOUTH FIGUEROA STREET, SUITE 100",LOS ANGELES,CA,90012,34659,30-Oct-09,U.S. Bank N.A.,34.0562365,-118.2534557,10,2009,200910,7800,6200
Park National Bank,801 NORTH CLARK,CHICAGO,IL,60610,11677,30-Oct-09,U.S. Bank N.A.,41.896862,-87.6308517,10,2009,200910,4700,3700
San Diego National Bank,1420 KETTNER BOULEVARD,SAN DIEGO,CA,92101,23594,30-Oct-09,U.S. Bank N.A.,32.720173,-117.169579,10,2009,200910,3600,2900
Pacific National Bank,300 MONTGOMERY STREET,SAN FRANCISCO,CA,94104,30006,30-Oct-09,U.S. Bank N.A.,37.792355,-122.402382,10,2009,200910,2300,1800
North Houston Bank,3945 EAST LITTLE YORK ROAD,HOUSTON,TX,77093,18776,30-Oct-09,U.S. Bank N.A.,29.870426,-95.326637,10,2009,200910,326.2,308
Madisonville State Bank,208 W. MAIN,MADISONVILLE,TX,77864,33782,30-Oct-09,U.S. Bank N.A.,30.948837,-95.9147564,10,2009,200910,256.7,225.2
"Bank USA, N.A.",2222 EAST CAMELBACK ROAD,PHOENIX,AZ,85016,32218,30-Oct-09,U.S. Bank N.A.,33.509598,-112.032753,10,2009,200910,212.8,117.1
Citizens National Bank,420 MAIN STREET,TEAGUE,TX,75860,25222,30-Oct-09,U.S. Bank N.A.,31.6271207,-96.283723,10,2009,200910,118.2,97.7
Community Bank of Lemont,1229 STATE STREET,LEMONT,IL,60439,35291,30-Oct-09,U.S. Bank N.A.,41.655235,-87.998924,10,2009,200910,81.8,81.2
United Commercial Bank,555 MONTGOMERY STREET,SAN FRANCISCO,CA,94111,32469,6-Nov-09,East West Bank,37.794392,-122.403442,11,2009,200911,11200,7500
Prosperan Bank,990 HELENA AVENUE NORTH,OAKDALE,MN,55128,35074,6-Nov-09,"Alerus Financial, N.A.",44.962788,-92.955109,11,2009,200911,199.5,175.6
United Security Bank,9031 EAST BROAD STREET,SPARTA,GA,31087,22286,6-Nov-09,Ameris Bank,33.27544,-82.969368,11,2009,200911,157,150
Gateway Bank of St. Louis,3412 UNION BOULEVARD,SAINT LOUIS,MO,63115,19450,6-Nov-09,Central Bank of Kansas City,38.6782372,-90.2589083,11,2009,200911,27.7,27.9
Home Federal Savings Bank,9108 Woodward Ave,Detroit,MI,48202,30329,6-Nov-09,Liberty Bank and Trust Company,42.3830009,-83.0817702,11,2009,200911,14.9,12.8
Orion Bank,2150 GOODLETTE ROAD NORTH 1ST FLOOR,NAPLES,FL,34102,22427,13-Nov-09,IBERIABANK,26.172432,-81.790764,11,2009,200911,2700,2100
"Century Bank, F.S.B.",1680 Fruitville Road,Sarasota,FL,34236,32267,13-Nov-09,IBERIABANK,27.338531,-82.536583,11,2009,200911,728,631
Pacific Coast National Bank,"905 CALLE AMANECER, SUITE 100",SAN CLEMENTE,CA,92673,57914,13-Nov-09,Sunwest Bank,33.448578,-117.607681,11,2009,200911,134.4,130.9
Commerce Bank of Southwest Florida,1520 ROYAL PALM SQUARE BOULEVARD SUITE 100,FORT MYERS,FL,33919,58016,20-Nov-09,Central Bank,26.593719,-81.884239,11,2009,200911,79.7,76.7
AmTrust Bank,1801 East Ninth Street,Cleveland,OH,44114,29776,4-Dec-09,New York Community Bank,41.501228,-81.6875613,12,2009,200912,12000,8000
The Buckhead Community Bank,415 EAST PACES FERRY ROAD,ATLANTA,GA,30305,34663,4-Dec-09,State Bank and Trust Company,33.8384921,-84.3743234,12,2009,200912,874,838
Greater Atlantic Bank,"10700 Parkridge Boulevard, Suite P50",Reston,VA,20191,32583,4-Dec-09,Sonabank,38.9448461,-77.3137126,12,2009,200912,203,179
Benchmark Bank,ONE NORTH CONSTITUTION DRIVE,AURORA,IL,60506,10440,4-Dec-09,"MB Financial Bank, N.A.",41.7653694,-88.3698502,12,2009,200912,170,181
First Security National Bank,6170 PEACHTREE PARKWAY,NORCROSS,GA,30092,26290,4-Dec-09,State Bank and Trust Company,33.9495201,-84.234581,12,2009,200912,128,123
The Tattnall Bank,104 N. MAIN STREET,REIDSVILLE,GA,304539200,12080,4-Dec-09,Heritage Bank of the South,32.0871759,-82.1182872,12,2009,200912,49.6,47.3
SolutionsBank,7401 WEST 135TH STREET,OVERLAND PARK,KS,66223,4731,11-Dec-09,Arvest Bank,38.883038,-94.672234,12,2009,200912,511.1,421.3
"Republic Federal Bank, N.A.","8600 NORTHWEST 36TH STREET, SUITE 800",MIAMI,FL,33166,22846,11-Dec-09,1st United Bank,25.808815,-80.3361359,12,2009,200912,433,352.7
"Valley Capital Bank, N.A.","1910 SOUTH STAPLEY DRIVE, SUITE 137",MESA,AZ,85204,58399,11-Dec-09,Enterprise Bank & Trust,33.3801683,-111.8072954,12,2009,200912,40.3,41.3
"First Federal Bank of California, F.S.B.",401 Wilshire Boulevard,Santa Monica,CA,90401,28536,18-Dec-09,"OneWest Bank, FSB",34.019875,-118.498665,12,2009,200912,6100,4500
Imperial Capital Bank,"888 PROSPECT STREET, SUITE 110",LA JOLLA,CA,92037,26348,18-Dec-09,City National Bank,32.846691,-117.275826,12,2009,200912,4000,2800
Peoples First Community Bank,2305 Hwy 77,Panama City,FL,32405,32167,18-Dec-09,Hancock Bank,30.18997,-85.650551,12,2009,200912,1800,1700
New South Federal Savings Bank,2000 Crestwood Blvd,Irondale,AL,35210,32276,18-Dec-09,Beal Bank,33.534367,-86.702576,12,2009,200912,1500,1200
Independent Bankers' Bank,3161 WEST WHITE OAKS DRIVE SUITE 300,SPRINGFIELD,IL,62704,26820,18-Dec-09,The Independent BankersBank (TIB),39.7606554,-89.7085773,12,2009,200912,585.5,511.5
RockBridge Commercial Bank,5607 GLENRIDGE DRIVE SUITE 100,ATLANTA,GA,30342,58315,18-Dec-09,No Acquirer,33.9068718,-84.3629379,12,2009,200912,294,291.7
Citizens State Bank,51066 WASHINGTON,NEW BALTIMORE,MI,48047,1006,18-Dec-09,No Acquirer,42.6803703,-82.735199,12,2009,200912,168.6,157.1
Horizon Bank,1500 CORNWALL AVENUE,BELLINGHAM,WA,98225,22977,8-Jan-10,Washington Federal Savings and Loan Association,48.751778,-122.475571,1,2010,201001,1300,1100
Barnes Banking Company,33 SOUTH MAIN STREET,KAYSVILLE,UT,84037,1252,15-Jan-10,No Acquirer,41.0340462,-111.9379272,1,2010,201001,827.8,786.5
Town Community Bank & Trust,41412 NORTH HIGHWAY 83,ANTIOCH,IL,60002,34705,15-Jan-10,First American Bank,42.4558945,-88.0758667,1,2010,201001,69.6,67.4
St. Stephen State Bank,2 CENTRAL AVENUE SOUTH,SAINT STEPHEN,MN,56375,17522,15-Jan-10,First State Bank of St. Joseph,45.702778,-94.274261,1,2010,201001,24.7,23.4
Charter Bank,809 Saint Michaels Drive,Santa Fe,NM,87505,32498,22-Jan-10,Charter Bank,35.659958,-105.962433,1,2010,201001,1200,851.5
Columbia River Bank,"401 EAST 3RD STREET, SUITE 200",THE DALLES,OR,97058,22469,22-Jan-10,Columbia State Bank,45.6000517,-121.181111,1,2010,201001,1100,1000
Evergreen Bank,"1111 THIRD AVENUE, SUITE 100",SEATTLE,WA,98101,20501,22-Jan-10,Umpqua Bank,47.606544,-122.33535,1,2010,201001,488.5,439.4
Premier American Bank,5301 BLUE LAGOON DRIVE SUITE 200,MIAMI,FL,33126,57147,22-Jan-10,"Premier American Bank, N.A.",25.783163,-80.283844,1,2010,201001,350.9,326.3
Bank of Leeton,101 EAST STONE STREET,LEETON,MO,64761,8265,22-Jan-10,"Sunflower Bank, N.A.",38.5849495,-93.69487,1,2010,201001,20.1,20.4
First Regional Bank,1801 CENTURY PARK EAST,LOS ANGELES,CA,90067,23011,29-Jan-10,First-Citizens Bank & Trust Company,34.062199,-118.415817,1,2010,201001,2180,1870
Community Bank and Trust,448 NORTH MAIN STREET,CORNELIA,GA,30531,5702,29-Jan-10,SCBT National Association,34.5162315,-83.5283661,1,2010,201001,1200,1100
Florida Community Bank,1400 NORTH 15TH STREET,IMMOKALEE,FL,34142,5672,29-Jan-10,"Premier American Bank, N.A.",26.4382922,-81.4338552,1,2010,201001,875.5,795.5
First National Bank of Georgia,201 MAPLE STREET,CARROLLTON,GA,30117,16480,29-Jan-10,Community & Southern Bank,33.5791024,-85.0778259,1,2010,201001,832.6,757.9
American Marine Bank,249 WINSLOW WAY EAST,BAINBRIDGE ISLAND,WA,98110,16730,29-Jan-10,Columbia State Bank,47.624306,-122.519325,1,2010,201001,373.2,308.5
"Marshall Bank, N.A.",203 SECOND STREET SOUTH,HALLOCK,MN,56728,16133,29-Jan-10,United Valley Bank,48.774929,-96.9435425,1,2010,201001,59.9,54.7
1st American State Bank of Minnesota,563 6TH STREET,HANCOCK,MN,56244,15448,5-Feb-10,"Community Development Bank, FSB",45.4979561,-95.7953873,2,2010,201002,18.2,16.3
"La Jolla Bank, FSB",888 Prospect Street,La Jolla,CA,92037,32423,19-Feb-10,"OneWest Bank, FSB",32.846691,-117.275826,2,2010,201002,3800,2800
George Washington Savings Bank,14701 SOUTH LAGRANGE ROAD,ORLAND PARK,IL,60462,29952,19-Feb-10,"FirstMerit Bank, N.A.",41.62265,-87.852974,2,2010,201002,412.8,397
Marco Community Bank,1770 SAN MARCO ROAD,MARCO ISLAND,FL,34146,57586,19-Feb-10,Mutual of Omaha Bank,25.9343044,-81.7004715,2,2010,201002,119.6,117.1
The La Coste National Bank,100 SOUTH FRONT,LA COSTE,TX,78039,3287,19-Feb-10,Community National Bank,29.3109798,-98.8105621,2,2010,201002,53.9,49.3
Rainier Pacific Bank,1498 PACIFIC AVENUE,TACOMA,WA,98402,38129,26-Feb-10,Umpqua Bank,47.250179,-122.438309,2,2010,201002,717.8,446.2
Carson River Community Bank,"951 JACKS VALLEY ROAD, SUITE C",CARSON CITY,NV,89705,58352,26-Feb-10,Heritage Bank of Nevada,39.1008434,-119.7779877,2,2010,201002,51.1,50
Sun American Bank,9293 GLADES ROAD,BOCA RATON,FL,33434,27126,5-Mar-10,First-Citizens Bank & Trust Company,26.3689327,-80.1914444,3,2010,201003,535.7,443.5
Centennial Bank,4605 HARRISON BOULEVARD,OGDEN,UT,84403,34430,5-Mar-10,No Acquirer,41.179192,-111.949936,3,2010,201003,215.2,205.1
Bank of Illinois,200 WEST COLLEGE AVENUE,NORMAL,IL,61761,9268,5-Mar-10,Heartland Bank and Trust Company,40.5104012,-88.9860418,3,2010,201003,211.7,198.5
Waterfield Bank,19828 Century Blvd,Germantown,MD,20874,34976,5-Mar-10,No Acquirer,39.1815242,-77.2663113,3,2010,201003,155.6,156.4
LibertyPointe Bank,120 BROADWAY,NEW YORK,NY,10271,58071,11-Mar-10,Valley National Bank,40.7086647,-74.0108753,3,2010,201003,209.7,209.5
The Park Avenue Bank,460 PARK AVENUE,NEW YORK,NY,10022,27096,12-Mar-10,Valley National Bank,40.762028,-73.970993,3,2010,201003,520.1,494.5
Old Southern Bank,250 NORTH ORANGE AVENUE,ORLANDO,FL,32801,58182,12-Mar-10,Centennial Bank,28.545473,-81.379395,3,2010,201003,315.6,319.7
Statewide Bank,2008 RONALD REAGAN HIGHWAY,COVINGTON,LA,70433,29561,12-Mar-10,Home Bank,30.4926637,-90.1266586,3,2010,201003,243.2,208.8
Advanta Bank Corp.,11850 SOUTH ELECTION ROAD,DRAPER,UT,84020,33535,19-Mar-10,No Acquirer,40.535866,-111.894363,3,2010,201003,1600,1500
Appalachian Community Bank,829 INDUSTRIAL BOULEVARD,ELLIJAY,GA,30540,33989,19-Mar-10,Community & Southern Bank,34.6856182,-84.4807226,3,2010,201003,1010,917.6
Bank of Hiawassee,20 SOUTH MAIN STREET,HIAWASSEE,GA,30546,10054,19-Mar-10,Citizens South Bank,34.9476834,-83.7560863,3,2010,201003,377.8,339.9
First Lowndes Bank,115 WEST OLD FORT ROAD,FORT DEPOSIT,AL,36032,24957,19-Mar-10,First Citizens Bank,31.9873957,-86.5793286,3,2010,201003,137.2,131.1
Century Security Bank,5955 STATE BRIDGE ROAD SUITE 100,DULUTH,GA,30097,58104,19-Mar-10,Bank of Upson,34.0117226,-84.1824265,3,2010,201003,96.5,94
American National Bank,5603 RIDGE RD,PARMA,OH,441292699,18806,19-Mar-10,The National Bank and Trust Company,41.4090919,-81.7340698,3,2010,201003,70.3,66.8
State Bank of Aurora,213 N. MAIN STREET,AURORA,MN,55705,8221,19-Mar-10,Northern State Bank,47.5292192,-92.2369509,3,2010,201003,28.2,27.8
Desert Hills Bank,3001 EAST CAMELBACK ROAD,PHOENIX,AZ,85016,57060,26-Mar-10,New York Community Bank,33.509502,-112.016434,3,2010,201003,496.6,426.5
McIntosh Commercial Bank,820 DIXIE STREET,CARROLLTON,GA,30117,57399,26-Mar-10,CharterBank,33.567928,-85.072174,3,2010,201003,362.9,343.3
Unity National Bank,"950 JOE FRANK HARRIS PARKWAY, S.E.",CARTERSVILLE,GA,30121,34678,26-Mar-10,Bank of the Ozarks,34.1856194,-84.7861023,3,2010,201003,292.2,264.3
Key West Bank,701 Whitehead Street,Key West,FL,33040,34684,26-Mar-10,Centennial Bank,24.553144,-81.802116,3,2010,201003,88,67.7
Beach First National Bank,3751 ROBERT M. GRISSOM PARKWAY SUITE 100,MYRTLE BEACH,SC,29577,34242,9-Apr-10,Bank of North Carolina,33.7236587,-78.866776,4,2010,201004,585.1,516
Riverside National Bank of Florida,2211 OKEECHOBEE ROAD,FORT PIERCE,FL,31950,24067,16-Apr-10,"TD Bank, N.A.",27.4398572,-80.346304,4,2010,201004,3420,2760
City Bank,14807 HIGHWAY 99,LYNNWOOD,WA,98087,21521,16-Apr-10,Whidbey Island Bank,47.8638344,-122.2812958,4,2010,201004,1130,1020
Tamalpais Bank,"630 LAS GALLINAS AVENUE, SECOND FLOOR",SAN RAFAEL,CA,94903,33493,16-Apr-10,"Union Bank, N.A.",38.0239983,-122.5400162,4,2010,201004,628.9,487.6
First Federal Bank of North Florida,511 St Johns Ave,Palatka,FL,32177,28886,16-Apr-10,"TD Bank, N.A.",29.646643,-81.634117,4,2010,201004,393.3,324.2
Innovative Bank,360 14TH STREET,OAKLAND,CA,94612,23876,16-Apr-10,Center Bank,37.8035413,-122.2691088,4,2010,201004,268.9,225.2
Butler Bank,10 GEORGE STREET,LOWELL,MA,1852,26619,16-Apr-10,People's United Bank,42.6422276,-71.3061639,4,2010,201004,268,233.2
AmericanFirst Bank,1060 WEST HIGHWAY 50,CLERMONT,FL,34711,57724,16-Apr-10,"TD Bank, N.A.",28.5469926,-81.739214,4,2010,201004,90.5,81.9
Lakeside Community Bank,43850 SCHOENHERR ROAD,STERLING HEIGHTS,MI,48313,34878,16-Apr-10,No Acquirer,42.616783,-82.99118,4,2010,201004,53,52.3
"Amcore Bank, National Association",501 7TH STREET,ROCKFORD,IL,61104,3735,23-Apr-10,Harris N.A.,42.2624731,-89.0808827,4,2010,201004,3800,3400
Broadway Bank,5960 NORTH BROADWAY AVENUE,CHICAGO,IL,60660,22853,23-Apr-10,"MB Financial Bank, N.A.",41.990308,-87.6603433,4,2010,201004,1200,1100
New Century Bank,363 WEST ONTARIO STREET,CHICAGO,IL,60610,34821,23-Apr-10,"MB Financial Bank, N.A.",41.892902,-87.638176,4,2010,201004,485.6,492
Wheatland Bank,2244 95TH STREET,NAPERVILLE,IL,60564,58429,23-Apr-10,Wheaton Bank & Trust,41.708786,-88.190254,4,2010,201004,437.2,438.5
Lincoln Park Savings Bank,1946 WEST IRVING PARK ROAD,CHICAGO,IL,606130000,30600,23-Apr-10,Northbrook Bank & Trust Company,41.954483,-87.6781921,4,2010,201004,199.9,171.5
Peotone Bank and Trust Company,200 WEST CORNING AVENUE,PEOTONE,IL,604688928,10888,23-Apr-10,First Midwest Bank,41.3329582,-87.7915192,4,2010,201004,130.2,127
Citizens Bank and Trust Company of Chicago,5700 NORTH CENTRAL AVENUE,CHICAGO,IL,60646,34658,23-Apr-10,Republic Bank of Chicago,41.984978,-87.768745,4,2010,201004,77.3,74.5
Frontier Bank,332 SOUTHWEST EVERETT MALL WAY,EVERETT,WA,98204,22710,30-Apr-10,"Union Bank, N.A.",47.904648,-122.238197,4,2010,201004,3500,3130
CF Bancorp,525 WATER STREET,PORT HURON,MI,480600000,30005,30-Apr-10,First Michigan Bank,42.9753171,-82.4254974,4,2010,201004,1650,1430
Champion Bank,11401 OLIVE BOULEVARD,SAINT LOUIS,MO,63141,58362,30-Apr-10,BankLiberty,38.6716766,-90.4329376,4,2010,201004,187.3,153.8
BC National Banks,1109 WEST FORT SCOTT,BUTLER,MO,64730,17792,30-Apr-10,Community First Bank,38.2570553,-94.3549599,4,2010,201004,67.2,54.9
1st Pacific Bank of California,"9333 GENESEE AVENUE, SUITE 100",SAN DIEGO,CA,92121,35517,7-May-10,City National Bank,32.8756569,-117.2138985,5,2010,201005,335.8,291.2
The Bank of Bonifay,300 NORTH WAUKESHA STREET,BONIFAY,FL,32425,14246,7-May-10,First Federal Bank of Florida,30.7951766,-85.6795064,5,2010,201005,242.9,230.2
Towne Bank of Arizona,3156 EAST BASELINE ROAD,MESA,AZ,85204,57697,7-May-10,Commerce Bank of Arizona,33.379593,-111.763123,5,2010,201005,120.2,113.2
Access Bank,11150 COMMERCE DRIVE NORTH,CHAMPLIN,MN,55316,16476,7-May-10,PrinsBank,45.157211,-93.394203,5,2010,201005,32,32
Midwest Bank and Trust Company,1606 NORTH HARLEM AVENUE,ELMWOOD PARK,IL,60707,18117,14-May-10,"FirstMerit Bank, N.A.",41.909523,-87.806625,5,2010,201005,3170,2420
Satilla Community Bank,6308 HIGHWAY 40 EAST,SAINT MARYS,GA,31558,35114,14-May-10,Ameris Bank,30.8163815,-81.5077515,5,2010,201005,135.7,134
New Liberty Bank,1333 ANN ARBOR ROAD WEST,PLYMOUTH,MI,481701238,35586,14-May-10,Bank of Ann Arbor,42.3585458,-83.4760194,5,2010,201005,109.1,101.8
Southwest Community Bank,3333 EAST BATTLEFIELD ROAD,SPRINGFIELD,MO,65804,34255,14-May-10,Simmons First National Bank,37.1581703,-93.2274934,5,2010,201005,96.6,102.5
Pinehurst Bank,757 CLEVELAND AVENUE SOUTH,SAINT PAUL,MN,55116,57735,21-May-10,Coulee Bank,44.918633,-93.188179,5,2010,201005,61.2,58.3
Bank of Florida - Southwest,1185 IMMOKALEE ROAD,NAPLES,FL,34110,35106,28-May-10,EverBank,26.2723848,-81.7962793,5,2010,201005,640.9,559.9
Bank of Florida - Southeast,200 SW 1ST AVENUE SUITE 100,FORT LAUDERDALE,FL,33301,57360,28-May-10,EverBank,26.120008,-80.144188,5,2010,201005,595.3,531.7
Sun West Bank,5830 WEST FLAMINGO ROAD,LAS VEGAS,NV,89103,34785,28-May-10,City National Bank,36.115208,-115.221214,5,2010,201005,360.7,353.9
Bank of Florida - Tampa,777 SOUTH HARBOUR ISLAND BOULEVARD SUITE 940,TAMPA,FL,33602,57814,28-May-10,EverBank,27.937611,-82.453964,5,2010,201005,245.2,224
"Granite Community Bank, NA",4100 DOUGLAS BOULEVARD,GRANITE BAY,CA,95746,57315,28-May-10,Tri Counties Bank,38.743454,-121.224625,5,2010,201005,102.9,94.2
